주차장명,주차장구분,주차장유형,주차구획수,lon,lat
장안동공영,공영,노외,138,127.0143617,37.2864887
팔달주차타워,공영,노외,345,127.020007,37.276191
장다리길,공영,노상,159,127.0286679,37.274683
화성행궁주차장,공영,노상,236,127.013193,37.281811
연무대주차장,공영,노상,199,127.023533,37.287658
창룡문주차장,공영,노상,93,127.026231,37.286061
교동공영,공영,노외,252,127.0153067,37.2731264
꽃뫼환승,공영,노외,143,126.9862828,37.2850375
매교동,공영,노외,68,127.0191736,37.271378
창룡공영,공영,노외,85,127.0280532,37.2910098
인계공영,공영,노외,64,127.0305056,37.2743222
인계동주택,공영,노외,76,127.023785,37.2717106
선경도서관,공영,부설,73,127.0105611,37.283795
화서환승,공영,노외,290,126.9903423,37.2854615
남수동,공영,노외,39,127.0193899,37.2808477
우만공원공영,공영,노외,119,127.0324159,37.2867379
영통중앙길,공영,노상,107,127.0762511,37.2542368
카페거리1공영,공영,노외,66,127.0517265,37.2940118
광교대학로공영,공영,노외,51,127.0501711,37.2775687
토야주차장,민영,노외,171,127.059466,37.246731
화홍문공영,공영,노외,457,127.015811,37.289887
곡반2공영,공영,노외,206,127.0306168,37.2395154
권선종합시장주차장,민영,노외,106,127.024745,37.256056
굿파크주차장,민영,노외,19,127.021422,37.256721
시청2부설,공영,부설,337,127.0285851,37.2633752
시청별관,공영,부설,364,127.0285851,37.2633752
시청정문,공영,부설,90,127.0285851,37.2633752
화성박물관팔달구청,공영,부설,223,127.0193113,37.2825146
수원화성박물관주차장,공영,부설,70,127.019351,37.282595
매탄4지구,공영,노상,65,127.0446933,37.2608747
영통우체국,공영,노상,78,127.0594164,37.2466593
신대호수,공영,노외,291,127.0755235,37.282935
망포공영,공영,노외,457,127.0579501,37.2450472
영통공영,공영,노외,313,127.0738831,37.2532651
매탄공원,공영,노외,223,127.0453625,37.2681548
원천호수,공영,노외,389,127.0663549,37.2817329
행복한들,공영,노외,256,127.0708559,37.2838208
매봉공영,공영,노외,200,127.0546978,37.2686827
광교중앙마을공영,공영,노외,45,127.043496,37.2983488
광교1동공영,공영,노외,35,127.0441618,37.2990965
영통구청,공영,부설,273,127.0465523,37.259126
영통도서관,공영,부설,84,127.070661,37.2551321
수원박물관주차장,공영,부설,73,127.035631,37.297646
수원광교박물관주차장,공영,부설,135,127.051421,37.296351
매원주차장,민영,노외,15,127.046146,37.273469
반석주차장,민영,노외,48,127.048894,37.274913
원영주차장,민영,노외,30,127.049201,37.274791
영통주차장,민영,노외,146,127.076721,37.252315
선일파앤아이,민영,노외,29,127.041502,37.257962
신안개발,민영,노외,430,127.057423,37.288126
상수도사업소민원주차장,공영,노상,21,127.028008,37.301439
광교공영,공영,노외,357,127.031699,37.301565
만석공원(5),공영,노외,103,126.999111,37.297575
백설공영,공영,노외,57,126.992583,37.295701
성대환승,공영,노외,166,126.971771,37.300978
영화동공영,공영,노외,136,127.014102,37.293163
율전공영,공영,노외,72,126.971425,37.297615
만석공원(1~4),공영,노외,230,126.9992841,37.2972925
연무동공영,공영,노외,176,127.0221657,37.288461
권선지하공영,공영,노외,66,127.018826,37.259103
대황교화물(승용차),공영,노외,230,127.018347,37.236041
세류역환승,공영,노외,136,127.014507,37.243415
터미널공영,공영,노외,51,127.020442,37.251375
수원역환승,공영,노외,129,126.9984176,37.2655944
권선구청부설,공영,부설,258,126.9721195,37.2572109
농수산시장,공영,부설,596,127.030426,37.254898
한서주차장,민영,노외,22,127.011588,37.254956
동서주차장,민영,노외,11,127.030461,37.260881
길목주차장,민영,노외,34,127.008355,37.254675
디에스주차장,민영,노외,29,126.971987,37.229161
